64	13404
64	15488
65	14173
66	13767
67	13448
67	16322
68	12767
68	14977
68	16261
69	14239
69	14467
71	14405
73	12747
74	15325
74	15320
75	15453
76	13009
78	12876
78	13461
79	14145
79	14407
79	15498
82	12417
82	13790
83	13273
83	16011
84	13919
84	14998
85	15756
86	13390
87	14916
87	15324
87	15443
88	15325
88	16196
88	16333
88	16216
89	13005
90	15821
91	13964
91	14473
91	15815
92	13379
93	15447
94	13139
94	16077
95	12878
95	13398
95	13705
95	13893
95	15827
128	12617
128	14785
128	15435
129	12441
129	13971
129	14468
129	14993
129	15178
131	13214
131	14465
132	12433
132	13208
132	14427
133	16216
135	14272
136	13465
136	14040
136	15955
137	13777
137	14531
137	16081
138	13663
138	15514
139	16081
140	13953
140	14239
140	15707
140	9304
140	5344
145	12480
145	15004
145	16195
146	12440
147	14038
149	13514
149	14415
149	15066
150	14997
151	15820
152	12509
152	12612
152	14748
153	12420
153	13407
154	12739
154	13258
154	15424
155	12370
156	14799
156	14932
158	13254
159	14159
159	14215
192	14149
193	14809
193	14785
194	16261
195	12672
198	13150
199	13650
199	14744
199	15767
201	13634
202	12698
202	13188
203	12696
203	13006
204	15706
205	13020
205	15439
205	15711
205	16092
205	16216
206	12931
206	13769
209	12746
209	13003
209	13774
209	15966
209	16008
210	14220
211	15192
214	13908
215	14791
216	13915
216	15191
217	13210
217	14814
218	14920
220	12895
220	15315
220	16082
221	12443
221	15178
222	14807
224	5344
224	13148
